""	"PC9.DMSO1"	"PC9.DMSO2"	"PC9.DMSO3"	"PC9.osiacute1"	"PC9.osiacute2"	"PC9.osiacute3"	"PC9.osiDTP1"	"PC9.osiDTP2"	"PC9.osiDTP3"
"AC008397.1"	1.10754090756709	3.00237097880779	2.48028043735683	2.68490635441397	2.14736806819922	1.72130248360796	0.933754359709064	0.900828825436796	0.889444622469561
"AC008397.2"	0.591128752950126	1.48352371859325	1.29447288155047	2.48190117898894	2.26766481539274	2.8006895897896	2.82211580627963	1.89758756183192	2.41438057541285
"AC008403.1"	0.0620649329423002	0.103153327385433	0	0.131266873111668	0.235554207328013	0	0	0.101619494616487	0.193242234386744
"AC008481.3"	0.0745795435211522	0	0	0	0	0.0852369446630994	0.0917699244628257	0.0456834616589464	0.0404855198190644
"AC008537.1"	0	0	0	0.00455146641853377	0.0161270822181469	0.0941311198310619	0.0813551012201778	0.0788342625698564	0
"AC008575.1"	0.172088112056397	0	0	0	0.381374550235956	0	0	0	0
"AC008676.3"	0.0764793423475357	0.0199238261077144	0.0489129326646222	0	0	0.0234661272849177	0	0	0.0416509448262341
"AC008687.1"	0.0129201473758488	0.0101069050580451	0.0371785589408128	0	0.123460012717888	0.0237797839637077	0.193246260864451	0.214838673946318	0.149073840845668
"AC008687.4"	0.0246583304408776	0.038176042397362	0	0.0229047236810634	0.020282955410859	0	0	0.0226553074359943	0.0200876320809565
"AC008687.8"	0.0343142486339148	0.117321417977249	0	0.33866653485772	0.672763778365698	0.277173738640668	1.9418951568422	2.21244989811213	1.93222701995751
"AC008695.1"	6.80482931931047	3.96491100889394	4.33876230013218	5.66752169765879	0.212069596617648	4.27658913639259	0.7561291030238	2.08176848650864	2.54934458467818e-07
"AC008750.8"	0.205420451083742	0.219019918916933	0.143649175693744	0.146327755372978	0.185088122891529	0.112258688660417	0.438087043780995	0.585614152539256	0.674231768880908
"AC008758.1"	0	0	8.60993333807298e-05	1.34662962576744	0.00107059901125485	0.579803870021703	1.24081749754431	1.18969027160303	0.336821580342724
"AC008758.5"	0	0.204331215528597	0	0.0555516228177071	0	0.119129095398524	0	0	0.092002826683814
"AC008758.6"	0.00658422232705975	0	0.0695009681789531	0.100153943484689	0.283621557461042	0.143966798668261	0.234501080409048	0.217029291258331	0.293228248378527
"AC008763.2"	1.44065997562362	1.14590252764807	0.27830754168959	2.24879745565103	1.74384987523995	1.97118656287485	1.50282513851645	1.4665545007818	2.01349678966592
"AC008763.3"	0.469113207525353	0	0	0	0	0	0	0	0
"AC008764.1"	0.200492885868567	0	0	0	0.11437156770571	0	0.10620418174606	0.0396556677378176	0.0359458487799195
"AC008764.4"	4.66016897618912	2.8644362818094	3.96309142139154	6.22700018617651	5.34897640505894	4.95893191326317	5.31785478609737	3.54832570871386	5.84373115168464
"AC008770.1"	0.0260627884920985	0.05893567134456	0	0	0	0	0.028234225354984	0.071359231576479	0
"AC008770.2"	0	0	0.014426682162988	0	0	0.123071352634421	0.0812627995440951	0.0794375520723143	0.237881200670953
"AC008870.1"	0.248235023281163	0.0908470188842638	0.309214832395298	0.0891972423325856	0.0614497031120508	0.106636646114248	0.154116006787809	0.136473019070057	0.192432103819802
"AC008878.1"	0.420737911221161	0.594866546895492	0.148657995861634	0.580011571161526	1.71484123113085	0.0727043185121742	0	0.0735686229579529	0.0609980909982294
"AC008878.2"	0	0	0	0	0	0	0	0	0
"AC008982.1"	0.130242395184783	0.35251864492322	0.110095237155009	0	0.126745722111288	0	0.130039067538853	0.109483052785336	0.112360145992163
"AC009133.6"	30.7723534219862	28.2891382779261	28.6201105944866	12.7572153032174	11.3062424588901	13.6893561933971	14.351715566984	19.9792880647659	18.6741517268435
"AC009163.3"	0.0910585369686618	0	0.1846708191584	0.0463472169358158	0.0183848991242561	0.110169683238238	0.0752566372505398	0.102360354259566	0.139892196805755
"AC009163.5"	0.061554521369697	0.0691436102765692	0.0787397333991577	0	0.0886418754484729	0	0.407974987912728	0.0750919460046618	0.0350745355168889
"AC009412.1"	11.7980602657294	12.8237570727177	14.3257303310463	14.2129510812898	13.9954684026877	14.5595340453755	19.1071618530099	6.23877602400047	17.8798106652469
"AC009690.1"	0	0.0901841444672008	0.47969674636209	0.328317110249843	0.466219338283288	0.422558085922683	1.01666298923359	2.73175907025893	1.54081889930446
"AC009690.3"	0	0	0	0	0	0	0	0	0
"AC009779.4"	2.91713605121349	5.42368054992167	3.3491518317277	2.7935975702785	4.03216757322364	2.92719866817925	6.04416423875587	5.75634064183133	6.03842726223581
"AC009879.2"	0	0	0	0	0	0	0	0	0
"AC009879.3"	0.0374287019599264	0.023958993430633	0.0510949433817532	0.0634460446925567	0.160487942083292	0.036877700505741	0.162425045806007	0	0.151246227923426
"AC010132.3"	26.9023061369238	24.940607476425	23.2927323441723	26.3240353471091	24.0853928290885	25.4964295463704	26.5702099486941	22.9061872164125	24.1921066120313
"AC010255.3"	0	0.015806450321597	0	0	0.0160762742415887	0.0185171603604461	0.0428858609206669	0	0
"AC010319.2"	0	0	0	0	0	0	0	0	0
"AC010323.1"	3.36054494854689e-08	0.872997268387035	0	1.16737644534525	0	0.577855416079551	0	1.01110633015194	0
"AC010325.1"	0.241428649474365	0.252302286661801	0.312821482017283	0.158953353038343	0.181858851399296	0.140135998288294	0.278560326793501	0.307072684412523	0.395821444024255
"AC010326.1"	9.94773838488788	8.80303401693587	7.29449358260292	6.88564014328891	7.26307748329873	7.79159115445785	10.8176491300815	12.2468672271988	11.3243827721885
"AC010326.3"	0.32395597475584	0.283269216780037	3.02244773503621e-05	0.0986219521186275	0.371893783862099	0.119780976528528	0.296094942783188	0.380321645277946	0.325513413552411
"AC010327.2"	0.0453456509642568	0	0	0	0	0	0	0.0346123303264538	0.0384101484041682
"AC010422.3"	0.735665452964539	0.763409105628041	0.335229368434779	0.55348356437405	0.433871558504441	0.662056001639456	1.24418754727292	0.41857613894221	0.655496537987968
"AC010422.5"	0.136574404656683	0.14594709129563	0.0714071001790139	0.111857360081724	0.0724817914368449	0.0934613388958078	0	0	0.32482537493273
"AC010422.6"	1.93588071672794	1.73239171145889	2.3398150897383	5.06413265560528	5.01376118803523	4.49655774332076	5.05062408677381	6.00684369196746	6.31017404969781
"AC010463.1"	0.166261353769319	0	0	0	0.133352338446145	0	0	0.118175283193197	0.356024383644073
"AC010522.1"	2.86949868152688	3.05147216115041	1.94394875538535	1.89890121009909	1.98762598110717	2.00751190268323	3.1376951291333	3.3565754643447	3.987492379258
"AC010531.1"	0.675105803365302	0.658035817589408	0.981381461409902	0.430895853402507	0	0.499061256822282	0.404438205035955	0.422227724612249	0.104598368130794
"AC010542.3"	0	0	0	0	0.0550093740726291	0	0	0.0347987268833978	0
"AC010547.4"	2.13866707652606	0.783443959412859	0.83185336692278	1.76796437711725	1.8462874259717	1.67585210138706	2.98869296553231	2.28914712211419	1.43792767286259
"AC010615.4"	0	0	0.0195711888204734	0	0.0240433554252175	0	0.222722683972975	0.0608185133221553	0.187415053908193
"AC010619.2"	0	0.172254253100914	0.122089129360992	0.0502050202040516	0	0.0458031776844423	0	0.0423650007036821	0
"AC010646.1"	0.155693742686432	0.0243864870122617	0.0877121094145537	0.0476249984464656	0.147773642358993	0.236181488405523	0.186319578417035	0.0877104920630041	0.0498150302341957
